Company,Recipient,Export Description,Year Ordered,Year Delievered,Currency,Value Original Currency (m),Value (AUDm),Number Ordered,Number Delivered,Domain,Category,Source,Current or prior ADF-use,Export before ADF-use,Donation
Production Parts,Multiple F-35 Joint Strike Fighter Program members. Contracted awarded by Pratt and Whitney,Compressor case for F-35 engine.,2010,-,AUD,40,40,-,-,Air,Subcomponent,Link,Y,Y,N
Future Fibre Technologies,US military,Optic intrusion detection systems,2011,-,-,-,-,-,-,Cyber,Software,Link,N,Y,N
Levett Engineering,"Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Pratt and Whitney, with Harris possibly involved",Titanium brackets and mounts for the F135 actuators,2011,2016,USD,50,56.5,-,-,Air,Subcomponent,Link,Y,Y,N
Marand Precision Engineering and BAE Systems Australia. RUAG Australia subcontracted,Multiple F-35 Joint Strike Fighter Program members. Subcontracted from BAE Systems (UK). Lockheed Martin issued the main contract,Vertical Tails for the F-35,2011,-,AUD,750,750,722,-,Air,Subcomponent,Link,Y,Y,N
Quickstep Holdings,Multiple F-35 Joint Strike Fighter Program members. Long-term contract awarded by Lockheed Martin and Northrop Grumman,"16 types of F-35 composite subassembly parts, including F-35 lower side skins, maintenance access panels and fuel tank covers",2011,2032,AUD,700,700,36000,10000,Air,Subcomponent,Link,Y,Y,N
Rosebank Engineering (RUAG Australia),Multiple F-35 Joint Strike Fighter Program members,Long-term agreement signed for sole source of the F-35B and F-35C retract and downlocks actuators and 50 per cent of the global share of F-35A retract actuators,2011,-,-,-,-,-,-,Air ,Subcomponent,Link,Y,Y,N
TAE Aerospace,Multiple - F-35 Joint Strike Fighter program members. Contract awarded by Harris Corporation,"Communication, Navigation and Identification chassis components",2011,-,-,-,-,-,-,Air ,Subcomponent,Link,Y,Y,N
The Commonwealth of Australia,US,"Infrastructure, basing and support services to aid the US marine force posture in Darwin for a 25-year deployment",2011,2036,AUD,"1,000","1,000",-,-,Land,Service,Link,Y,N,N
Broens Industries,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Pratt and Whitney,"Additional F-35 engine ground support equipment, including gearbox removal jacks",2012,-,USD,0.3,0.291,-,-,Air,Subcomponent,Link,Y,Y,N
Daronmont Technologies,New Zealand,CommSeca communication systems,2013,2015,-,-,-,7,7,Sea,Subcomponent,Link,N,Y,N
Lovitt Technologies,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Lockheed Martin,F-35 titanium keels for the aft portion of the inner wing assembly ,2013,2016,USD,2.945,3.59,300,300,Air,Subcomponent,Link,Y,Y,N
Rheinmetall Defence Australia (Rheinmetall Man Military Vehicles Australia Pty Ltd),New Zealand,Logistic military trucks and support services,2013,2015,-,-,-,194,194,Land,Platform and service,Link,Y,Y,N
Thales Australia,Jamaica,Bushmaster troop carriers,2013,-,-,-,-,12,12,Land,Platform,Link,Y,N,N
Austal Ltd,Oman,High-speed support vessels construction,2014,2016,USD,124.9,157.37,2,2,Sea,Platform,Link,N,Y,N
AW Bell,Multiple F-35 Joint Strike Fighter Program members,Electronic warfare countermeasure magazine castings,2014,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
BAE Systems Australia,US and domestic orders,Nulka active missile decoys,2014,2014,AUD,50,50,-,1400,Sea,"Platform, ammunition and software",Link,Y,N,N
BAE Systems Australia,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Northorp Grumman,F-35 Audio Control Electronic modules,2014,2016,USD,15,19.65,1000,1000,Air,Subcomponent,Link,Y,Y,N
Cogito Group,New Zealand Defence Force,Planning the implementation of stronger authentication and access enabled solutions and support services,2014,-,-,-,-,-,-,Cyber,Software,Link,Y,N,N
Forgacs,Donated by Australia to Tonga,30.4-metre landing craft construction,2014,2015,AUD,5,5,1,1,Sea ,Platform,Link,N,Y,Y
Levett Engineering,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Pratt and Whitney,"F-35 engine bearing housings, covers, and related mechanical system components",2014,-,USD,200,220,-,-,Air,Subcomponent,Link,Y,Y,N
"Lovitt Technologies, including its subsidary Electromold, and Marand Precision Engineering",Boeing ,F-15 Strike Fighter components as a part of the Global Supply Chain program,2014,-,-,-,-,-,-,Air,Subcomponent,Link,N,Y,N
Quickstep Holdings,Multiple F-35 Joint Strike Fighter Program members. Long-term contract awarded by Marand Precision Engineering,Carbon fibre composite parts for the F-35 Lightning II’s vertical tails. Assembly work on parts from other suppliers for the vertical tails,2014,-,USD,139,184.87,700,-,Air,Subcomponent,Link,Y,Y,N
TAE Aerospace,"Cobham Microelectronic Solutins, an original equipment manufacturer (OEM) for the F-35","Vacuum-brazed, liquid-cooled chassis for the Aperture Electronics Modules for the F-35",2014,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Thales Australia,Japan,Bushmaster troop carriers,2014,2014,-,-,-,4,4,Land,Platform,Link,Y,N,N
The Commonwealth of Australia,British Ministry of Defence and BAE Systems,Leasing of the Woomera Rocket Range for the Taranis drone project and drone testing,2014,-,-,-,-,-,-,Land,Service,Link,Y,N,N
Axiom,Multiple F-35 Joint Strike Fighter Program members. Subcontracted from BAE Systems Australia,Component machining for BAE's F-35 contract,2015,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
BAE Systems Australia,Multiple F-35 Joint Strike Fighter Program members,"Southern Pacific F-35 Regional Depot Airframe Maintenance, Repair, Overaul and Upgrade provider from 2018",2015,2018,-,-,-,-,-,Air,Service,Link,Y,Y,N
BAE Systems Australia,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Northorp Grumman,High-end circuit boards and sub-system assemblies for the F-35,2015,-,USD,15,20.7,-,-,Air,Subcomponent,Link,Y,Y,N
Daronmont Technologies,Canada,CommSeca Communication Detection Systems,2015,2018,-,-        ,-,6,6,Sea,Subcomponent ,Link,N,Y,N
"L-3 Micreo, subcontractors include Axiom Precision Manufacturing, SRX Global, ZCG Scalar and LINTEK",Afghan Armed and Security Forces,"Handheld GREENGUM, GREYGUM and SILVERSHIELD (Redwing) counter-improvised explosive device force protection systems",2015,2020,AUD,109,109,226000,224000,Land,Subcomponent and software,Link,N,Y,N
Levett Engineering,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Pratt and Whitney,"F-35 engine bearing housings, covers, and oil flow manifold components",2015,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Levett Engineering,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by Pratt and Whitney,F-35 engine transfer tubes and other engine components,2015,2020,USD,4,5.48,-,-,Air,Subcomponent,Link,Y,Y,N
Rockwell-Collins Australia (now Collins Aerospace Australia),Multiple - F-35 Joint Strike Fighter program members,Electro-Optical Distributed Aperture System (AAQ-37),2015,-,-,-,-,-,1000,Air,Subcomponent ,Link,Y,Y,N
TAE Aerospace,"Multiple - F-35 Joint Strike Fighter program members, including Australia, Korea, Japan and US forces operating in the Asia-Pacific",Assigned maintenance duties for the Pratt and whitney F135 engine fan and power modules in the Asia-Pacific region under the F-35’s Global Support System,2015,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
Thales Australia,The Netherlands,Bushmaster troop carriers and supporting systems,2015,2016,-,-,-,12,12,Land,Platform and subcomponent,Link,Y,N,N
Austal Ltd,"Donated to Cook Islands, Federated States of Micronesia, Fiji, Kiribati, Palau, PNG, Marshall Islands, Samoa, Solomon Islands, Timor-Leste, Tonga, Tuvalu and Vanuatu",Guardian-class patrol boats construction and in-service class support,2016,2023,AUD,"2,100","2,100",22,15,Sea,Platform,Link,N,Y,Y
"BAE Systems Australia, Northrop Grumman Australia, Quickstep, GE Aviation Systems, RUAG Australia, TAE Aerospace and Rockwell Collins Australia",Multiple F-35 Joint Strike Fighter Program members,"Global mainteance, repair, overhaul and upgrade services for select Life Support components for the 2021-25 period and the majority of F-35 component repair assignments for the Pacific from 2025",2016,2025,-,-,-,-,-,Air,Service and subcomponent,Link,Y,Y,N
DroneShield,High Profile Asian Government,Multi-sensor acoustic detection products and sensor installation,2016,-,-,-,-,-,-,Land,"Platform, service and subcomponent",Link,Y,Y,N
Lockheed Martin Australia and Schach RF,US Naval Research Laboratory,High frequency Over-the-Horizon-Radar technology,2016,-,-,-,-,-,-,Air,Subcomponent,Link,Y,N,N
Marand Precision Engineering,Multiple F-35 Joint Strike Fighter Program members. Long-term contract awarded by Lockheed Martin,Detail design and manufacture of new fuselage assembly for an engine and lift fan removal and installation trainer for the F-35,2016,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
RUAG Australia,Multiple F-35 Joint Strike Fighter Program members and United Technologies Corporation,Landing gear actuators for the F-35,2016,2020,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
TAE Aerospace,"Moog Inc, a key F-35 OEM",Manufacturing of components for the electro hydrostatic actuation system for the F-35,2016,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
BAE Systems Australia,"Multiple F-35 Joint Strike Fighter Program members, US Government",F-35 Regional Warehouse for Asia-Pacific,2017,-,AUD,300,300,-,-,Air,Service and subcomponent,Link,Y,Y,N
Electro Optic Systems (EOS) Holdings,Orbital ATK ,"R-400S-Mk2 remote weapon systems, spares and support services. ",2017,2020,AUD,170,170,600,-,Land,Platform and services,Link,Y,N,N
"Ferra Engineering, including 15 Australian-based suppliers ",Thales Germany,"Manufacturing sub-assemblies for Phoenice, Thales’ tactical navigation radar system for submarines",2017,-,-,-,-,-,-,Sea,Subcomponent,Link,N,Y,N
Sage Automation - Navantia Australia,Navantia ,Integrated platform management systems for two RAN Auxiliary Oiler Replenishment ships being built in Spain,2017,2019,AUD,2.8,2.8, -,-,Sea,Subcomponent,Link,Y,Y,N
XTEK Ltd,U.S. Government’s Combating Terrorism Technical Support Office,Fabrication and testing services for combat helmets and flat panels,2017, -,USD,0.644,0.837,-,-,Land,Service,Link,N,Y,N
XTEK Ltd,FY Composites in Finland,SAPI plates for ballistic body armour,2017, -,-, -,,-,-,Land,Subcomponent,Link,Y,Y,N
ASC,Saab,"A range of services, including engineering services for the Swedish A26 submarine program",2018,-,-,-,-,-,-,Sea,Service,Link,N,Y,N
DroneShield,ForcePro,DroneSentry and Drone Gun units,2018,2018,AUD,0.21,0.21,3,3,Land,Platform and software,Link,Y,Y,N
Electro Optic Systems (EOS) Holdings,UAE,"R-400S-Mk2 remote weapon systems, spares and support services. The R-400S Mk2 possesses a machine gun, a 30mm light cannon and an automatic grenade launcher",2018,-,AUD,450,450,-,-,Land,Platform and services,Link,Y,N,N
Future Fibre Technologies,Several Asian militaries,Security upgrades at several Asian military airbases,2018,-,AUD,2.2,2.2,-,-,Cyber,Software,Link,N,Y,N
Kellogg Brown & Root Pty Ltd (Canberra Branch),Multiple F-35 Joint Strike Fighter Program members.,F-35 Lightning II Virtual Reality Training Program,2018,2018,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
RUAG Australia,VRC Metal Systems and USN,Mobile Supersonic Particle Despoistion (SPD) Unit for USN trials,2018,2019,-,-,-,1,1,Sea,Subcomponent,Link,N,Y,N
Thales Australia,The Netherlands,Bushmaster support and mainteance services,2018,2024,-,-,-,-,-,Land,Service,Link,Y,N,N
Austal Ltd,Trinidad & Tobago,Cape-class Patrol Boats construction,2019,2020,AUD,126,126,2,2,Sea,Platform,Link,Y,N,N
BAE Systems Australia,Multiple F-35 Joint Strike Fighter Program members,Additional F-35 Component mainteance repair overhaul and upgrade work,2019,-,-,-,-,-,-,Air,Service and subcomponent,Link,Y,Y,N
Navantia Australia,-,Unknown - Naval Capabilities,2019, -,AUD,2,2, -,-,Sea,Subcomponent,Link,N,Y,N
Northrop Grumman Australia,Multiple F-35 Joint Strike Fighter Program members,"F-35 Lightning II maintenance, repair, overhaul and upgrade contracts for the Asia-Pacific region",2019,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
PMB Defence,Great Britain,Battery Demonstrator System,2019,2021,GBP,4.27,7.86,- ,-,Sea,Subcomponent ,Link,Y,N,N
Rheinmetall NIOA Munitions (RWM),German Armed Forces,Artillery shells of unknown calibre,2019,2024,AUD,173,173,32000,-,Land,Ammunition,Link,N,Y,N
Verseng Group,Qatar Air Force,TALU aircraft loaders,2019,2019,-,-,-,4,4,Air,Subcomponent,Link,N,Y,N
APV Safety Products,"BAE Systems USA, US Army and Marines",Armoured Multi-Purpose Vehicle and Amphibious Combat Vehicle program military seatbelts,2020,2023,USD,0.5,0.68,-,-,Land,Subcomponent,Link,N,Y,N
archTIS,Northrop Grumman,License purchase of the Kojensi cloud platform,2020,-,-,-,-,-,-,Cyber,Software,Link,Y,N,N
"Australian Deparment of Defence, Laing O'Rourke, CPB Contractors and unspecified subcontractors",Singapore,"The construction of the Greenvale Training Area (CPB Contractors) and expanding the existing Shoalwater Bay Training Area (Laing O'Rourke). Logistics, mainteance, medical, sanitation, adminisitrative and transportation support for the 25-year Australia-Singapore Military Training Initiative",2020,2046,AUD,"2,250","2,250",-,-,Land,FDI and service,Link,Y,N,N
Axiom,Multiple F-35 Joint Strike Fighter Program members. Subcontracted from BAE Systems Australia,Machining parts for the F-35's vertial tail,2020,-,AUD,0.8,0.8,-,-,Air,Subcomponent,Link,Y,Y,N
BAE Systems Australia,Kongsberg Defence and Aerospace,Passive Radio Frequency Sensors for the Joint Strike Missile,2020,-,-,-,-,-,-,Air,Subcomponent,Link,N,Y,N
Chemring,Multiple F-35 Joint Strike Fighter Program members. Contract awarded by the USN,"MJU-68 countermeasure, and MJU-61 training flares for the F-35",2020,-,USD,107.5,168.4,-,-,Air,Subcomponent,Link,Y,Y,N
Clearbox Systems,British Ministry of Defence,Development of models for AI-enabled decision support for SATCOM service selection,2020,-,-,-,-,-,-,Space,Software,Link,N,Y,N
DroneShield,USAF,Multiple DroneSentryTM integrated detect-and-defeat counterdrone systems,2020,-,-,-,-,-,-,Land,Platform and software,Link,Y,Y,N
DroneShield,A significant European military,DroneSentry -C2TM Command-and-Control system,2020,-,AUD,0.1,0.1,1,-,Land,Platform and software,Link,Y,Y,N
PMB Defence,Sweden,Main Storage batteries for A26 Belinge-class submarines,2020,-,-,-,-,20,-,Sea,Subcomponent,Link,N,Y,N
PMB Defence,Canada,Submarine batteries for the Victoria-class,2020,-,-,-,-,- ,-,Sea,Subcomponent,Link,N,Y,N
Rheinmetall Defence Australia,Hungary,Digital Lance turrets for Lynx infantry fighting vehicles,2020,-,AUD,150,150,218,-,Land,Subcomponent,Link,N,Y,N
Rheinmetall NIOA Munitions (RWM),Multiple - F-35 Joint Strike Fighter program members," F-35 ammunition, 25mm Frangible Armoured Piercing Projectiles",2020, -,-,-,-, -,-,Air,Ammunition ,Link,Y,Y,N
RUAG Australia,USN under the AUSMIN Defence Acquistion Committee,"Mainteance, repair an doverhaul of selected components for the F/A-18 Hornet for the Asia-Pacific region",2020,-,-,-,-,-,-,Air,Subcomponent and service,Link,Y,N,N
RUAG Australia,USN under the AUSMIN Defence Acquistion Committee,"Component maintenance, repair and overhaul on MH-60R Seahawk helicopters",2020,-,-,-,-,-,-,Air,Subcomponent,Link,Y,N,N
TAE Aerospace and GE Aviation,USN,Maintenance of selected engine parts for the USN's F/A-18 Super Hornets and Growlers,2020,-,-,-,-,-,-,Air,Subcomponent and service,Link,Y,N,N
Thales Australia,NZ,Five variants of the Bushmaster protected military vehicle series,2020,2023,NZD,75,75,43,-,Land,Platform,Link,Y,N,N
Thales Australia,"US, NZ, Canada and other international customers",Unspecificed munitions,2020,-,AUD,30,30,-,-,Land,Platform and subcomponent,Link,Y,N,N
Australian Defence Apparel ,New Zealand,Combat wearables for the NZ military,2021,-,-,-,-,-,-,Land,Subcomponent,Link,Y,N,N
BAE Systems Australia,Kongsberg Defence and Aerospace,Passive Radio Frequency Sensors for the Joint Strike Missile,2021,-,-,-,-,180,-,Air,Subcomponent,Link,N,Y,N
"Crowley Solutions (US), including unspecified Australian subcontractors",Australia,Construction and servicing of the East Arm fuel storage facility to store jet fuel,2021,2023,AUD,270,270,-,-,Land,Service and FDI,Link,N,Y,N
"Marand Precision Engineering, in cooperation with Rheinmetall Defence Australia",US,Roof Module for the Lynx infantry fighting vehicle test chassis,2021,-,-,-,-,-,-,Land,Subcomponent,Link,N,Y,N
PMB Defence,Great Britain,Submarine Main Battery TDP Phase 3a ,2021,-,GBP,22.3,40.81,-,-,Sea,Subcomponent,Link,N,Y,N
Rheinmetall Defence Australia,U.S.,Lynx infantry fighting vehicle test chassis,2021,-,-,-,-,,-,Land,Subcomponent,Link,N,Y,N
Supashock - in cooperation with Rheinmetall,European defence program (nation not disclosed),"Suspension systems, including hydraulic track tensioners, telescopic dampers, support rollers and road wheel arms",2021,-,AUD,12,12,46,-,Land,Subcomponent,Link,N,Y,N
AirFab,USN,Wide-Band Satellite Telecommunications System work stands,2022,-,AUD,3.4,3.4,22,-,Air,Subcomponent,Link,Y,N,N
Austal Ltd,Trinidad & Tobago,Cape-class Patrol Boat maintenance and sustainment,2022,2024,,-,-,2,-,Sea,Subcomponent and service,Link,Y,N,N
Babcock Australiasia,New Zealand,Mainteance and upgrade services on decomissioned inshore patrol vessels,2022,-,NZD,15,13.8,2,-,Sea,Service,Link,N,Y,N
BAE Systems Australia,"Evolved SeaSparrow Missile program members, Raytheon and US Defence",Hardware and software sub-assemblies for the Evolved SeaSparrow Block II,2022,2025,AUD,50,50,-,-,Sea,Subcomponents and software,Link,Y,N,N
Bisalloy in cooperation with Hanwha,Egypt,Steel for Hanwha K9A1EGY self-propelled artillery units,2022,-,-,-,-,-,-,Land,Subcomponent,Link,N,Y,N
DefendTex,Ukraine,D40 kamikaze drones,2022,2022,-,-,-,300,300,Land,Subcomponent,Link,N,Y,N
DroneShield,Ukraine and European customers donating to Ukraine,Drone Gun,2022,2022,-,-,-,-,-,Land,Platform and software,Link,Y,Y,N
XTEK Ltd,Undisclosed customer,Specialist software and hardware products,2022, -,AUD,0.2,0.2,-,-,Land,Subcomponent and service,Link,N,Y,N
L3Harris Australia,Multiple F-35 Joint Strike Fighter Program members,F-35 Lightning II Avionics (Mission Processing),-,-,-,-,-,-,-,Air,Subcomponent,Link,Y,Y,N
